Genes	Preferred_name	Description
Tco_000878	CSMD1	CUB and sushi
Tco_000886		high mobility group
Tco_000888	CARKD	ATP-dependent NAD(P)H-hydrate dehydratase activity
Tco_000889	Tim8	Belongs to the small Tim family
Tco_000890		RNA binding
Tco_000891	CEP44	Centrosomal spindle body, CEP44
Tco_000892		Sec7 domain
Tco_000893	USP38	thiol-dependent ubiquitin-specific protease activity
Tco_000893		Belongs to the peptidase C19 family
Tco_000895		DNA- binding
Tco_000897		Vacuolar Protein
Tco_000898	RpII15	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Tco_000899		RNA binding
Tco_000901	TIGD4	Tigger transposable
Tco_000903		Kinesin light
Tco_000904		XAP5, circadian clock regulator
Tco_000905	CCNA1	Belongs to the cyclin family
Tco_000906	mRpS18C	Structural constituent of ribosome. It is involved in the biological process described with translation
Tco_000907		Rho guanyl-nucleotide exchange factor activity. It is involved in the biological process described with regulation of Rho protein signal transduction
Tco_000908	SPATA5	carbohydrate derivative binding
Tco_000910		protein dimerization activity
Tco_000911	Hip14	Belongs to the DHHC palmitoyltransferase family
Tco_000912	NARS2	Asparaginyl-tRNA synthetase 2, mitochondrial
Tco_000913		It is involved in the biological process described with
Tco_000914		methyltransferase activity
Tco_000915	larp	Tandem repeat in fly CG14066 (La related protein), human KIAA0731 and worm R144.7. Unknown function.
Tco_000917		Abhydrolase domain containing 18
Tco_000918		Abhydrolase domain containing 18
Tco_000919		NMDA receptor-regulated protein 1
Tco_000920		Rab subfamily of small GTPases
Tco_000921	AASDHPPT	dehydrogenase-phosphopantetheinyl transferase
Tco_000922		Haem-NO-binding
Tco_000926		Belongs to the adenylyl cyclase class-4 guanylyl cyclase family
Tco_000928		Disintegrin and metalloproteinase domain-containing protein
Tco_000931	CYB5R4	cytochrome b5 reductase
Tco_000932		Monocarboxylate transporter
Tco_000933	CstF-64	nucleic acid binding
Tco_000934		cytoplasmic sequestering of CFTR protein
Tco_000935	ORC3	pre-replicative complex assembly involved in nuclear cell cycle DNA replication
Tco_000936		Mitochondrial small ribosomal subunit Rsm22
Tco_000937		protein serine threonine kinase activity. It is involved in the biological process described with mitotic nuclear division
Tco_000938	PDXK	pyridoxal (Pyridoxine, vitamin B6) kinase
Tco_000938	Pdxk	Pyridoxal kinase activity. It is involved in the biological process described with pyridoxal 5'-phosphate salvage
Tco_000939		Exosome complex
Tco_000939	LAS1L	endonucleolytic cleavage involved in rRNA processing
Tco_000940		Metal ion binding
Tco_000941	lap	binding. It is involved in the biological process described with clathrin coat assembly
Tco_000942		SH3-binding, glutamic acid-rich protein
Tco_000943		It is involved in the biological process described with mitochondrial respiratory chain complex I assembly
Tco_000944	esc	Polycomb group (PcG) protein. In contrast to other PcG protein, it is specifically required during the first 6 hours of embryogenesis to establish PcG silencing. PcG proteins act by forming multiprotein complexes, which are required to maintain the transcriptionally repressive state of homeotic genes throughout development. PcG proteins are not required to initiate repression, but to maintain it during later stages of development. They probably act via a methylation of histones, rendering chromatin heritably changed in its expressibility. Component of the Esc E(z) complex, which methylates 'Lys-9' and 'Lys-27' residues of histone H3. The Esc E(z) complex is necessary but not sufficient to recruit a functional PcG repressive complex that represses target genes, suggesting that the recruitment of the distinct PRC1 complex is also required to allow a subsequent repression (By similarity)
Tco_000945	nompB	Intraflagellar transport protein 88
Tco_000946		protein serine threonine kinase activity. It is involved in the biological process described with mitotic nuclear division
Tco_000947	Rab39	GTP binding. It is involved in the biological process described with protein transport
Tco_000948		Solute carrier family 35
Tco_000949		Macoilin family
Tco_000950		LSM domain
Tco_000953	PARP4	Vault protein inter-alpha-trypsin domain
Tco_000957		ATP- binding
Tco_000958	CYP302A1	cytochrome P450
Tco_000962		activity. It is involved in the biological process described with ion transport
Tco_000963		activity. It is involved in the biological process described with ion transport
Tco_000964		Eukaryotic homologues of bacterial periplasmic substrate binding proteins.
Tco_000965	SKIP	Sterile alpha motif.
Tco_000966	BDH2	3-hydroxybutyrate dehydrogenase, type 2
Tco_000967	RPS6KA2	magnesium ion binding
Tco_000969	eIF-1A	Seems to be required for maximal rate of protein biosynthesis. Enhances ribosome dissociation into subunits and stabilizes the binding of the initiator Met-tRNA(I) to 40 S ribosomal subunits
Tco_000970		It is involved in the biological process described with vacuolar transport
Tco_000971		Ubiquitin protein ligase binding. It is involved in the biological process described with ubiquitin-dependent protein catabolic process
Tco_000972		Binds specifically to cytosolic chaperonin (c-CPN) and transfers target proteins to it. Binds to nascent polypeptide chain and promotes folding in an environment in which there are many competing pathways for nonnative proteins
Tco_000973		Ubiquitin protein ligase binding. It is involved in the biological process described with ubiquitin-dependent protein catabolic process
Tco_000974	POLR2F	Polymerase (RNA) II (DNA directed) polypeptide F
Tco_000975		Plays a role in the regulation of the mitochondrial ribosome assembly and of translational activity. Displays mitochondrial GTPase activity
Tco_000976		RNA binding
Tco_000977	Dap160	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
Tco_000978		Spermine synthase activity. It is involved in the biological process described with spermine biosynthetic process
Tco_000979		Spermine synthase activity. It is involved in the biological process described with spermine biosynthetic process
Tco_000980		Neurotransmitter sodium symporter activity. It is involved in the biological process described with neurotransmitter transport
Tco_000981	T	Brachyury
Tco_000982		E3 UFM1-protein ligase that mediates ufmylation of target proteins
Tco_000982	UFL1	E3 UFM1-protein ligase 1
Tco_000984		Forkhead box
Tco_000986	KIAA1033	endosome organization
Tco_000988	TFG	PB1 domain
Tco_000990		TIP41-like family
Tco_000991	LTN1	Listerin E3 ubiquitin protein ligase 1
Tco_000992	eIF-2gamma	It is involved in the biological process described with histone lysine methylation
Tco_000993		Transferase activity, transferring glycosyl groups. It is involved in the biological process described with carbohydrate metabolic process
Tco_000995		N-terminal region of glycosyl transferase group 7
Tco_000996		Ligand binding domain of hormone receptors
Tco_000997	MPC1	mitochondrial pyruvate transmembrane transport
Tco_000998	S2P	metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Tco_001000		Disintegrin and metalloproteinase domain-containing protein 10-like
Tco_001001		It is involved in the biological process described with
Tco_001002		lamellipodium morphogenesis
Tco_001004		Disintegrin and metalloproteinase domain-containing protein 10-like
Tco_001005	PRELID2	PRELI domain-containing protein 2
Tco_001006	pyx	Belongs to the transient receptor (TC 1.A.4) family
Tco_001007	pyx	Belongs to the transient receptor (TC 1.A.4) family
Tco_001008	IRAK1BP1	interleukin-1 receptor-associated kinase
Tco_001010	sev	transmembrane receptor protein tyrosine kinase activity. It is involved in the biological process described with protein phosphorylation
Tco_001013		It is involved in the biological process described with tryptophanyl-tRNA aminoacylation
Tco_001014		Coproporphyrinogen III oxidase
Tco_001016		It is involved in the biological process described with vesicle-mediated transport
Tco_001017		Disintegrin and metalloproteinase domain-containing protein 10-like
Tco_001020		It is involved in the biological process described with vesicle-mediated transport
Tco_001021	LDLRAP1	Low density lipoprotein receptor
Tco_001022	FAU	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed a
Tco_001023	ss	activity. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_001024	ss	activity. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_001030		retrotransposable element Tf2 155 kDa protein type 1-like
Tco_001032	KATNA1	Catalytic subunit of a complex which severs microtubules in an ATP-dependent manner. Microtubule severing may promote rapid reorganization of cellular microtubule arrays and the release of microtubules from the centrosome following nucleation
Tco_001034	jagn	It is involved in the biological process described with endoplasmic reticulum organization
Tco_001035		Epidermal growth factor receptor kinase substrate 8-like
Tco_001036	CMSS1	Cms1 ribosomal small subunit homolog (yeast)
Tco_001037		Trafficking protein particle complex subunit
Tco_001038	Iap2	Zinc ion binding
Tco_001039		DUF21 domain-containing protein
Tco_001040		Tudor domain
Tco_001041		RNA polymerase II transcription regulator recruiting activity
Tco_001043	nonA	nucleic acid binding
Tco_001044		Zinc finger with UFM1-specific peptidase domain protein-like
Tco_001045		It is involved in the biological process described with transmembrane transport
Tco_001046		It is involved in the biological process described with transmembrane transport
Tco_001047		It is involved in the biological process described with transmembrane transport
Tco_001048		It is involved in the biological process described with transmembrane transport
Tco_001049		WD domain, G-beta repeat
Tco_001050		Protein dopey-1 homolog
Tco_001051		It is involved in the biological process described with intracellular signal transduction
Tco_001052	SH3KBP1	SH3 domain-containing kinase-binding protein 1
Tco_001053	CHORD	CHORD
Tco_001054		Tim10/DDP family zinc finger
Tco_001055	SMARCAD1	DNA double-strand break processing
Tco_001056		Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Tco_001058	akirin	positive regulation of interleukin-6 production
Tco_001060		Zinc ion binding
Tco_001061		It is involved in the biological process described with
Tco_001062		Disintegrin and metalloproteinase domain-containing protein
Tco_001064		It is involved in the biological process described with
Tco_001065	TMEM173	Transmembrane protein 173
Tco_001066		Ganglioside induced differentiation associated protein
Tco_001067		Domain of unknown function (DUF1693)
Tco_001068		catalytic activity. It is involved in the biological process described with metabolic process
Tco_001069	YRDC	tRNA threonylcarbamoyladenosine modification
Tco_001070		3-hydroxyacyl-CoA dehydrogenase activity. It is involved in the biological process described with oxidation-reduction process
Tco_001071	RpL24	60s ribosomal protein
Tco_001072	Cep97	Leucine-rich repeat
Tco_001073		Domain of unknown function (DUF4061)
Tco_001074		HpcH/HpaI aldolase/citrate lyase family
Tco_001075	COX17	positive regulation of electron transfer activity
Tco_001076		Transcription initiation factor TFIID
Tco_001077		Belongs to the glycosyl hydrolase 47 family
Tco_001078	PSMG1	assembly chaperone 1
Tco_001079		Synapse-associated protein
Tco_001080	hdc	Headcase protein
Tco_001081		Metal ion binding
Tco_001082	RpS4	Belongs to the eukaryotic ribosomal protein eS4 family
